Cluster,Quote
0,cos θ j sin θ cid 2 cid 3 v conjugate of v
0,cos hω t t θ 1 1
0,i t 2i sin ϑ t 2i sin ω t φ
0,i t 1 11 v i cos ω t ω
0,i cos φ 1 5 cid 2 cid 3 p 20 2 4 6 8 10time s figure 1 4 instantaneous power obtained with almost isofrequential voltage v 1 v ω 2π 50 rad s and current
0,i cos δθ t φ v i cos φ 10 1 2 3 4 5 6time s figure 1 5 instantaneous power obtained with almost isofrequential voltage v 1 v ω 2π 50 rad s with δθ 0 2π rad ω 2π rad s and λ 1o o θ θhz and current
0,cos ω t θ π 2 o
0,o o 1 20 ω 2v cos ω t t 4 θ o o o o ω v t t 4 o owhere ω
0,cos φ jv i sin φ where indicates the conjugate operation cos φ is the power factor termcoined as it is well known by fleming in 1892 and φ is the phase angle difference between the voltage and current phasors with v v 0
0,ω t θ a o o v t 1 33 v t 2v cos ω t θ 2π 3 abcb o o v t 2v cos ω t θ 2π 3 c o oin phasor representation 1 33 becomes v v θ a o v 1 34 v v θ 2π 3 abcb o v v θ 2π 3c oas
0,ω t θ α o o 1 42 v t 2v sin ω t θ
0,d o o 1 63 v t 2v cos
0,δθ ω sin ω
0,d o 1 72 v 2v cos θ q owhere
0,cos ω t sin ω t exp
0,cos ω t exp
0,i b v cid 2 l q c c d 2 2 2v v v1 d 1 q 1 ref ref cos θ v sin θ v 1 d 1 q 1 o 1 o g z r 1 z r i vs 23 s 3 l d 2 d z r 1 z r i vs 23 s 3 l q 2 q 1 t 0 0 0 02 0 t 0 0 0 0 1 10 0 ω x 0 0 0 lot 10 0 0
0,cos δ t δ v t sin
0,cos δ t δ v t sin
0,cos δ v sin δ v
0,cos δ v sin δ v
0,i sin δ is d s q h
0,o h p t sin
0,δθ ω sin ω
0,cos ω t 1 exp
0,cos θ t dθ t
0,h h h where it is assumed that sin θ θ
0,k k π φ w h z b z 2 x n x x cos 2 n m f t nko m p s m km 1 1 where b are the filter coefficients kφwhere x
0,2power system the values of u n remain close to a and the resulting error is minimal the values of u n can approachusing 9 we get cid 2 to zero only when f f which is not possible in a powero 2 2 w α system u n a cos n k tp 2 2 w α w a cos n k t m t 22
0,no 4 august 1997 a b c d e f fig 1 estimated frequency of a voltage g t cos t 0 2
0,no 4 august 1997 a b c d fig 3 true and estimated frequency of a voltage g t cos t 0 2
0,cos 5 t 0 1 cos 7 t without a b and with c d noise 0
0,cos ωt φ v cos ωt φ 1 α α0 p p n nulation 4 least square 5 kalman filter 6 neural networkv t v v sin ωt φ v sin ωt φ 2 β β0 p p n n 7 and so on where the subscript p and n denote the positive and negativeplls 2 dynamic performance depends on the loop filtersequence for i p n θ
0,φ v cos ω t τ φ α α0 p p n nthe frequency this approach is sensitive to the grid harmonics v v cos θ cos ωτ v sin θ sin ωτ
0,x x x 1 2 3be generated performance of pll depends largely on the t v v cos θ v sin θ the grid voltage dynamics in state 0proportional integral controller tuning fast dynamic responsespace form can be written as can come at the cost of accuracy fll 16 30 33 can be 0 0
0,cos φ n 2 n 2 n 2 nlpf in addition to first order lpf high order lpf can also k k sin φ 1 k cos φ 3 n 3 n 3 nbe considered to provide further noise robustness however in the presence of lpf the dynamics of the frequency estimation eigenvalues of matrix a are 1 1 and 1 k
0,it 4ζ2y v v sin
0,x x x x x technique is designed in discrete time while sogi pll and1 2 3 2n 2n 1epll are designed in continuous time sogi pll and epllt v v cos θ v sin θ v cos θ v sin θ 0 1 1 1 1 n n n nare discretized using trapezoidal
0,x x v cos φ v sin φ the1 2grid voltage dynamics in state space form can be written as samet biricik m 12 sm 19 received the b sc cid 20 cid 21 m
0,2𝜏where 𝑣 𝑦 𝑦 𝑦 𝑦 𝑣 𝑦 𝑦 𝑦 𝑦 𝑥 2 𝑦 𝑦 𝑥 2 𝑦 𝑦 and 𝜃 𝛼 𝛼 𝛼 𝛼 𝛼 𝛽 𝛽 𝛽 𝛽 𝛽 𝛼 𝛼 𝛼 𝛽 𝛽 𝛽 𝛼𝜃 cos 𝜔𝜏 from the unknown parameters 𝜃 and 𝜃 in 9
0,cos ωt φ v cos ωt φ 1 α α0 p p n nulation 4 least square 5 kalman filter 6 neural networkv t v v sin ωt φ v sin ωt φ 2 β β0 p p n n 7 and so on where the subscript p and n denote the positive and negativeplls 2 dynamic performance depends on the loop filtersequence for i p n θ
0,φ v cos ω t τ φ α α0 p p n nthe frequency this approach is sensitive to the grid harmonics v v cos θ cos ωτ v sin θ sin ωτ
0,2sec4 3 both frequency and amplitude are time varying f t 49 5 sin 2πt a t 2 0 3 cos 3πt 9 t 0 2 sec4 4 signal containing harmonics noise and dc componentsignal containing 3rd 5th 7th harmonics4 4 1 10 f 49 5 hz t 0 0 3 sec4 4 2 signal containing exponential component f 50hz t 0
0,cos 𝜔 𝑡 7a 𝑘 2 𝑘 𝑘 1discusses the system equations used in ukf section iii intro 𝑧 𝑧 2𝑧 cos 𝜔 𝑡 7b duces the frequency estimation algorithm based on ukf sim 𝑘 2 𝑘 𝑘 1ulations are conducted in section iv and the results are
0,cos 2πf t 1 0
0,i 31of frequency estimation is to remain unimpaired these 4 gains must be adequately corrected the method devel cos cos cos 1oped here does not require identical filter gains andthus
0,3nwt 0 1x cos 4nwt u _ 0 5 13 i iithe signal fundamental component frequencies were i
0,f δf cos πδft α the frequency deviates from the rated frequency the harmonics cannot ar n 0n be eliminated by a discrete fourier transform with a rectangularu m
0,cos 2πkf t 2πkδft α a m kn u t u k cos 2πkf t 2πkδft α 2πk 3 3v b m
0,cos 2π 3 2πδf 3f nn n nm u t u k cos 2πkf t 2πkδft α 2πk 3 c m kn 3f sin 2π 3 2πδf 3f cos πδft α n 0n n k 1 2 3 4 5 20 j f f
0,cos 2π 3 2πδf 3f n n nwhere u k is the peak value of thekharmonic component whenkis 1 3 f δf sin 2π 3 2πδf 3f sin πδft α m 16 n 0n
0,2πδfsin 2 t n u k u k cos 2πkf t 2πkδft α cos 2πf t dt 3 f n 3 f n 17 ar t 0 m n k nn 2 t nu k u k cos 2πkf t 2πkδft α sin 2πf t dthence the simulated positive sequence voltage can be approxi ai m k t n 0 n n 21 mately derived as follows whereu k is the real part andu
0,cos πkδft α ar n knδf δf2 1 2 06 u k m k f sin πkδft α 2f f δf ai n n k k n n 1 if 0 2 δf δf 2 f u k m k k f δf
0,cos πkδft α 2πk 3 1 0 86 nbr n kn2f f n n u k m k f sin πkδft α 2πk 3 sin πδft n α 0 bi n n kφ arctan
0,k πδft α 1 cos πδft n α 0 n 0 19 u k m k k f δf
0,cos πkδft α 2πk 3 cr n kn u k m k f sin πkδft α
0,k 3 3n n 0 1 2 25 u k sin kπδft m
0,3n harmoniccomponents are attenuated by sin kπδft n k 1 kπδft n3 2 three phases unbalance analysisif the three phase voltages are unbalanced the input voltage signalscan be expressed as follows u t u cos 2πf t
0,2πδft α a ps psn u cos
0,cos 2πf t 2πδft α 2π 3 b ps psn u
0,cos 2πf t 2πδft α 2π 3 ns nsn u t u cos
0,mn u t ε t sin 2πf t 2πδft 2π 3 b bn u k sin 2πkf t
0,2πkδft 2πk 3 π m n u t ε t sin 2πf t 2πδft 2π 3 c
0,cn u k sin 2πkf t
